aw_deep_link,product_name,aw_product_id,merchant_product_id,merchant_image_url,description,merchant_category,search_price,merchant_name,merchant_id,category_name,category_id,aw_image_url,currency,store_price,delivery_cost,merchant_deep_link,language,last_updated,display_price,data_feed_id,brand_name,in_stock,alternate_image,alternate_image_two,alternate_image_four,large_image,alternate_image_three,category
https://www.awin1.com/pclick.php?p=42197619835&a=2771700&m=119265,Dance game Zookeeper memory game,42197619835,30741,https://babubas.com/media/catalog/product/d/a/danspil-zookeeper-1.jpg,"Brand: Danspil,  Type: Board games,  Players: 2-4,  Age: 4 years,  Time: 10-15 minutes.,  Gtin: 5711699140100,",Toys,1.84,Babubas UK,119265,Toys,187,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Ababubas.com%2Fmedia%2Fcatalog%2Fproduct%2Fd%2Fa%2Fdanspil-zookeeper-1.jpg&feedId=109257&k=112fadfbb42811fa84860ad7f4fc047b4d196d06,GBP,,2.95,https://uk.babubas.com/dance-game-zookeeper-memory-game,,,£1.84,109257,Danspil,1,,,,,,
https://www.awin1.com/pclick.php?p=42197619836&a=2771700&m=119265,Dance game Animal dominoes,42197619836,30743,https://babubas.com/media/catalog/product/d/a/danspil-dyredomino-1.jpg,"MÃ¤rke: Danspil,  Typ: BrÃ¤dspel,  Ãlder: 4+ Ã¥r,  Spelare: 2-4,  Tid: 10-15 minuter,  Gtin: 5711699140124,",Toys,3.49,Babubas UK,119265,Toys,187,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Ababubas.com%2Fmedia%2Fcatalog%2Fproduct%2Fd%2Fa%2Fdanspil-dyredomino-1.jpg&feedId=109257&k=78bce23aaba1bf7098eb4ec30317fc88787ec09a,GBP,,2.95,https://uk.babubas.com/dance-game-animal-dominoes,,,£3.49,109257,Danspil,1,,,,,,
https://www.awin1.com/pclick.php?p=42197619837&a=2771700&m=119265,Plasticine Colour Max - 24 pcs,42197619837,30745,https://babubas.com/media/catalog/product/p/l/plasticine-24-colour-max-modellervoks-1.jpg,"Brand: Plasticine,  Type: Modeling clay,  Series: Colour Max,  Contents: 24 pcs. ,  Gtin: 5038701102568,",Activities & play time,2.98,Babubas UK,119265,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Ababubas.com%2Fmedia%2Fcatalog%2Fproduct%2Fp%2Fl%2Fplasticine-24-colour-max-modellervoks-1.jpg&feedId=109257&k=773dc0bb5d167e912519cd2201d2622f96f86d3e,GBP,,2.95,https://uk.babubas.com/plasticine-colour-max-24-pcs,,,£2.98,109257,Plasticine,1,,,,,,
https://www.awin1.com/pclick.php?p=42197619838&a=2771700&m=119265,Plasticine Toolz Modelling Wax Set,42197619838,30747,https://babubas.com/media/catalog/product/p/l/plasticine-toolz-1.jpg,"Brand: Plasticine,  Type: Modeling clay set,  Series: Toolz. ,  Gtin: 8056379032625,",Creative toys,5.68,Babubas UK,119265,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Ababubas.com%2Fmedia%2Fcatalog%2Fproduct%2Fp%2Fl%2Fplasticine-toolz-1.jpg&feedId=109257&k=fc4e9205fc3c87abdc88ff1ed4cb558a0b29f3f7,GBP,,2.95,https://uk.babubas.com/plasticine-toolz-modelling-wax-set,,,£5.68,109257,Plasticine,1,,,,,,
https://www.awin1.com/pclick.php?p=44125798229&a=2771700&m=119265,Plasticine Modelling Clay Block - Green,44125798229,30749,https://babubas.com/media/catalog/product/p/l/plasticine-slab-gron.jpg,"Brand: Plasticine,  Type: Modeling clay,  Series: One Color,  Color: Green. ,  Gtin: 8056379032618,",Creative toys,1.98,Babubas UK,119265,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Ababubas.com%2Fmedia%2Fcatalog%2Fproduct%2Fp%2Fl%2Fplasticine-slab-gron.jpg&feedId=109257&k=1921177d14c22576efdc7b5c2a558aefbabacfd9,GBP,,2.95,https://uk.babubas.com/plasticine-modelling-clay-block-green,,,£1.98,109257,Plasticine,1,,,,,,
https://www.awin1.com/pclick.php?p=44125798230&a=2771700&m=119265,Plasticine Modelling Clay Block - Purple,44125798230,30750,https://babubas.com/media/catalog/product/p/l/plasticine-one-colour-blok-lilla.jpg,"Brand: Plasticine,  Type: Modeling clay,  Series: One Color,  Color: Purple. ,  Gtin: 8056379032618,",Activities & play time,1.98,Babubas UK,119265,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Ababubas.com%2Fmedia%2Fcatalog%2Fproduct%2Fp%2Fl%2Fplasticine-one-colour-blok-lilla.jpg&feedId=109257&k=423cc2a8b52960c85df8d84eb1b591807f964cc7,GBP,,2.95,https://uk.babubas.com/plasticine-modelling-clay-block-purple,,,£1.98,109257,Plasticine,1,,,,,,
https://www.awin1.com/pclick.php?p=44125798231&a=2771700&m=119265,Plasticine Modelling Clay Block - Blue,44125798231,30752,https://babubas.com/media/catalog/product/p/l/plasticine-one-colour-blok-bla.jpg,"Brand: Plasticine,  Type: Modeling clay,  Series: One Color,  Color: Blue. ,  Gtin: 8056379032618,",Creative toys,1.98,Babubas UK,119265,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Ababubas.com%2Fmedia%2Fcatalog%2Fproduct%2Fp%2Fl%2Fplasticine-one-colour-blok-bla.jpg&feedId=109257&k=8665c7379228645d2599a455fedb9f49ae47e4b9,GBP,,2.95,https://uk.babubas.com/plasticine-modelling-clay-block-blue,,,£1.98,109257,Plasticine,1,,,,,,
https://www.awin1.com/pclick.php?p=44125798232&a=2771700&m=119265,Plasticine Modelling Clay Block - Red,44125798232,30753,https://babubas.com/media/catalog/product/p/l/plasticine-one-colour-blok-rod.jpg,"Brand: Plasticine,  Type: Modeling clay,  Series: One Color,  Color: Red. ,  Gtin: 8056379032618,",Activities & play time,1.98,Babubas UK,119265,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Ababubas.com%2Fmedia%2Fcatalog%2Fproduct%2Fp%2Fl%2Fplasticine-one-colour-blok-rod.jpg&feedId=109257&k=8f2a9d1d41ac07094804a1602e5f2182aa3765a0,GBP,,2.95,https://uk.babubas.com/plasticine-modelling-clay-block-red,,,£1.98,109257,Plasticine,1,,,,,,
https://www.awin1.com/pclick.php?p=42197619842&a=2771700&m=119265,Plasticine Modelling Clay Block - Pink,42197619842,30754,https://babubas.com/media/catalog/product/p/l/plasticine-one-colour-blok-pink.jpg,"Brand: Plasticine,  Type: Modeling clay,  Series: One Color,  Color: Pink. ,  Gtin: 8056379032618,",Activities & play time,1.98,Babubas UK,119265,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Ababubas.com%2Fmedia%2Fcatalog%2Fproduct%2Fp%2Fl%2Fplasticine-one-colour-blok-pink.jpg&feedId=109257&k=6b101635a963c00b12097e364f80406ed13d38d0,GBP,,2.95,https://uk.babubas.com/plasticine-modelling-clay-block-pink,,,£1.98,109257,Plasticine,1,,,,,,
https://www.awin1.com/pclick.php?p=42197619843&a=2771700&m=119265,Plasticine Modelling Clay Block - Orange,42197619843,30756,https://babubas.com/media/catalog/product/p/l/plasticine-one-colour-blok-orange.jpg,"Brand: Plasticine,  Type: Modeling clay,  Series: One Color,  Color: Orange. ,  Gtin: 8056379032618,",Activities & play time,1.98,Babubas UK,119265,,,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Ababubas.com%2Fmedia%2Fcatalog%2Fproduct%2Fp%2Fl%2Fplasticine-one-colour-blok-orange.jpg&feedId=109257&k=5bb8f5ce9ab5d93499982882a5cfe76f47045351,GBP,,2.95,https://uk.babubas.com/plasticine-modelling-clay-block-orange,,,£1.98,109257,Plasticine,1,,,,,,
